Biota|Animalia|Arthropoda|Arachnida|Araneae|Theridiidae|Cabello,unranked|kingdom|phylum|subclass|order|family|genus,5T6MX|N|RT|RC|RN|H6N|62JR8
Biota|Animalia|Chordata|Reptilia|Squamata|Diploglossa|Anguidae|Anguinae|Ophisaurus|Ophisaurus ventralis,unranked|kingdom|phylum|class|order|superfamily|family|subfamily|genus|species,5T6MX|N|CH2|RP|45C|8H6SS|622T2|87CD6|68YP|74Q3X
Biota|Animalia|Chordata|Reptilia|Squamata|Diploglossa|Anguidae|Anguinae|Pseudopus|Pseudopus apodus,unranked|kingdom|phylum|class|order|superfamily|family|subfamily|genus|species,5T6MX|N|CH2|RP|45C|8H6SS|622T2|87CD6|63QQD|4P98Q
Biota|Animalia|Chordata|Reptilia|Squamata|Diploglossa|Anguidae|Anniellinae|Anniella,unranked|kingdom|phylum|class|order|superfamily|family|subfamily|genus,5T6MX|N|CH2|RP|45C|8H6SS|622T2|87CD8|WM3
Biota|Animalia|Chordata|Reptilia|Squamata|Diploglossa|Anguidae|Anniellinae|Anniella|Anniella pulchra,unranked|kingdom|phylum|class|order|superfamily|family|subfamily|genus|species,5T6MX|N|CH2|RP|45C|8H6SS|622T2|87CD8|WM3|674R4
Biota|Animalia|Chordata|Reptilia|Squamata|Diploglossa|Anguidae|Gerrhonotinae|Abronia|Abronia antauges,unranked|kingdom|phylum|class|order|superfamily|family|subfamily|genus|species,5T6MX|N|CH2|RP|45C|8H6SS|622T2|87CHM|LRJ|87LJZ
Biota|Animalia|Chordata|Reptilia|Squamata|Diploglossa|Anguidae|Gerrhonotinae|Abronia|Abronia aurita,unranked|kingdom|phylum|class|order|superfamily|family|subfamily|genus|species,5T6MX|N|CH2|RP|45C|8H6SS|622T2|87CHM|LRJ|8M66
Biota|Animalia|Chordata|Reptilia|Squamata|Diploglossa|Anguidae|Gerrhonotinae|Abronia|Abronia deppii,unranked|kingdom|phylum|class|order|superfamily|family|subfamily|genus|species,5T6MX|N|CH2|RP|45C|8H6SS|622T2|87CHM|LRJ|8M6N
Biota|Animalia|Chordata|Reptilia|Squamata|Diploglossa|Anguidae|Gerrhonotinae|Abronia|Abronia fimbriata,unranked|kingdom|phylum|class|order|superfamily|family|subfamily|genus|species,5T6MX|N|CH2|RP|45C|8H6SS|622T2|87CHM|LRJ|8M6T
Biota|Animalia|Chordata|Reptilia|Squamata|Diploglossa|Anguidae|Gerrhonotinae|Abronia|Abronia graminea,unranked|kingdom|phylum|class|order|superfamily|family|subfamily|genus|species,5T6MX|N|CH2|RP|45C|8H6SS|622T2|87CHM|LRJ|8M6Z
Biota|Animalia|Chordata|Reptilia|Squamata|Diploglossa|Anguidae|Gerrhonotinae|Abronia|Abronia moreletii,unranked|kingdom|phylum|class|order|superfamily|family|subfamily|genus|species,5T6MX|N|CH2|RP|45C|8H6SS|622T2|87CHM|LRJ|87LK7
Biota|Animalia|Chordata|Reptilia|Squamata|Diploglossa|Anguidae|Gerrhonotinae|Abronia|Abronia oaxacae,unranked|kingdom|phylum|class|order|superfamily|family|subfamily|genus|species,5T6MX|N|CH2|RP|45C|8H6SS|622T2|87CHM|LRJ|8M7N
Biota|Animalia|Chordata|Reptilia|Squamata|Diploglossa|Anguidae|Gerrhonotinae|Abronia|Abronia taeniata,unranked|kingdom|phylum|class|order|superfamily|family|subfamily|genus|species,5T6MX|N|CH2|RP|45C|8H6SS|622T2|87CHM|LRJ|8M87
Biota|Animalia|Chordata|Reptilia|Squamata|Diploglossa|Anguidae|Gerrhonotinae|Abronia|Abronia vasconcelosii,unranked|kingdom|phylum|class|order|superfamily|family|subfamily|genus|species,5T6MX|N|CH2|RP|45C|8H6SS|622T2|87CHM|LRJ|8M8D
Biota|Animalia|Chordata|Reptilia|Squamata|Diploglossa|Anguidae|Gerrhonotinae|Barisia|Barisia imbricata,unranked|kingdom|phylum|class|order|superfamily|family|subfamily|genus|species,5T6MX|N|CH2|RP|45C|8H6SS|622T2|87CHM|384L|KR65
Biota|Animalia|Chordata|Reptilia|Squamata|Diploglossa|Anguidae|Gerrhonotinae|Barisia|Barisia planifrons,unranked|kingdom|phylum|class|order|superfamily|family|subfamily|genus|species,5T6MX|N|CH2|RP|45C|8H6SS|622T2|87CHM|384L|KR6C
Biota|Animalia|Chordata|Reptilia|Squamata|Diploglossa|Anguidae|Gerrhonotinae|Barisia|Barisia rudicollis,unranked|kingdom|phylum|class|order|superfamily|family|subfamily|genus|species,5T6MX|N|CH2|RP|45C|8H6SS|622T2|87CHM|384L|KR6D
Biota|Animalia|Chordata|Reptilia|Squamata|Diploglossa|Anguidae|Gerrhonotinae|Elgaria,unranked|kingdom|phylum|class|order|superfamily|family|subfamily|genus,5T6MX|N|CH2|RP|45C|8H6SS|622T2|87CHM|62QGY
Biota|Animalia|Chordata|Reptilia|Squamata|Diploglossa|Anguidae|Gerrhonotinae|Elgaria|Elgaria coerulea,unranked|kingdom|phylum|class|order|superfamily|family|subfamily|genus|species,5T6MX|N|CH2|RP|45C|8H6SS|622T2|87CHM|62QGY|6F472
Biota|Animalia|Chordata|Reptilia|Squamata|Diploglossa|Anguidae|Gerrhonotinae|Elgaria|Elgaria kingii,unranked|kingdom|phylum|class|order|superfamily|family|subfamily|genus|species,5T6MX|N|CH2|RP|45C|8H6SS|622T2|87CHM|62QGY|399YB
Biota|Animalia|Chordata|Reptilia|Squamata|Diploglossa|Anguidae|Gerrhonotinae|Elgaria|Elgaria multicarinata,unranked|kingdom|phylum|class|order|superfamily|family|subfamily|genus|species,5T6MX|N|CH2|RP|45C|8H6SS|622T2|87CHM|62QGY|399YC
Biota|Animalia|Chordata|Reptilia|Squamata|Diploglossa|Anguidae|Gerrhonotinae|Elgaria|Elgaria paucicarinata,unranked|kingdom|phylum|class|order|superfamily|family|subfamily|genus|species,5T6MX|N|CH2|RP|45C|8H6SS|622T2|87CHM|62QGY|399YH
Biota|Animalia|Chordata|Reptilia|Squamata|Diploglossa|Anguidae|Gerrhonotinae|Gerrhonotus|Gerrhonotus liocephalus,unranked|kingdom|phylum|class|order|superfamily|family|subfamily|genus|species,5T6MX|N|CH2|RP|45C|8H6SS|622T2|87CHM|4N7Z|3FX5R
